"経  済   活  動@(産  業)","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2013_平成25年度"
"２.政府ｻ-ﾋﾞｽ生産者_(2)ｻｰﾋﾞｽ業","104.87311696383645","103.8582003088759","100.93778467996044","100.45502118756686","100.1","99.16974533319268","98.777245315017","97.73805218154332","94.86814827693063","93.75978907235765","93.62861830101498","92.63444448518415","92.08995578969603"
"２.政府ｻ-ﾋﾞｽ生産者_(3)公務","103.76692491974242","102.17210332142372","100.12312306345859","99.93935687097861","100.10000000000001","99.73880425174711","100.13952191585854","100.19762068904454","97.35626465934735","96.14840077165437","96.14429123773265","94.72341622299615","94.46795068238202"
"","","","","","","","","","","","","",""
"３.対家計民間非営利ｻ-ﾋﾞｽ生産者","106.54825028283558","103.60365100864442","101.4003637877652","100.26240729453181","99.9","99.91715875313047","99.61445181078057","98.70661240363759","95.2131272449084","94.08335710736839","93.07104972753537","91.8381379711298","92.1199282654877"
"３.対家計民間非営利ｻ-ﾋﾞｽ生産者_(1)サ－ビス業","106.54825028283558","103.60365100864442","101.4003637877652","100.26240729453181","99.9","99.91715875313047","99.61445181078057","98.70661240363759","95.2131272449084","94.08335710736839","93.07104972753537","91.8381379711298","92.1199282654877"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"４．小計（１＋２＋３）","100.94425008515383","100.43683855366665","100.24728717451514","100.7561103924942","100.331744313243","99.01640948905452","98.64339397221151","98.07966692070987","98.23223917257661","97.71599122936611","96.50058831476709","95.16861432155925","94.0604057742001"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"５．輸入品に課される税・関税","87.23258038354966","87.13428967480739","87.03562910900355","92.05801258326673","103.8","112.663815821384","120.36398806443329","122.42773437080918","101.27111279242047","105.21769019276519","114.13853930190623","116.46475249601251","129.711721591277"
"６．［控除］総資本形成に係る消費税","112.19317588283192","109.36067041184754","107.97756514398853","110.54987933931454","99.93197182292324","99.88631985629593","107.18383616258889","106.53724454398359","101.66098160964434","97.75172765737659","97.48410842131521","97.55718968916001","97.62152801177102"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"７．県内総生産　（４＋５－６）","100.76885407153311","100.27366521102714","100.0898569345375","100.63266447429291","100.3653194748739","99.14005116564192","98.79710672434018","98.25894303307791","98.24034637009619","97.77942451103301","96.66025677312562","95.35571328665264","94.38111593304136"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"（参考）第一次産業","102.78296626340453","98.96362070328219","107.25920062792798","105.78606463046447","98.52643169458176","99.60620031484065","93.60970746753759","87.85660146822771","92.61221104931185","95.04769715285667","92.7362287747902","97.82779031369256","94.76265836663073"
"（参考）第二次産業","94.39865901512809","95.43955652698276","95.78966567274391","99.58396643040102","100.80568943457986","99.32080349853841","99.7168980125866","101.02500640441829","101.08421987989549","101.36423823243625","99.6579394452651","95.31595411665215","93.12449476549428"
"（参考）第三次産業","104.246194056464","103.0690714487035","102.28800763937326","101.23538029439021","100.13005687978156","98.82288623362832","98.25492812882567","96.98437638245892","97.04464500975187","96.05569248716674","95.12681391396113","95.18559109757929","94.73242505053143"
